miesiac,rok,wilgotnosc,temp_pow,temp_rosy,opad,pred_wiatru,cisnienie,SOR,Kardiologia/Kardiochirurgia,Neurologia,Chirurgia,Gastrologia,Nefrologia
1,2005,79.1384742951907,-0.553924820342736,0.546434494195688,38,2.64441680486457,980.469596462134,,,,,,
1,2006,57.3552542372881,-8.10183050847456,0.0542372881355932,469,1.38318644067797,991.37220338983,1381,239,122,124,123,82
1,2007,64.7185978578384,3.70895813047712,0.744888023369036,115,0.229698149951315,976.727361246349,1520,148,109,92,74,145
1,2008,57.7860016090105,-1.77087691069991,0.101367658889783,712,1.95784392598555,986.094127111826,1571,184,102,110,102,151
1,2009,64.1209302325581,-2.20992248062016,0.253488372093023,1373,0,980.450387596899,,,,,,
2,2005,62.8382696804365,-5.6041309431021,0.0993764614185503,58,1.57342166796567,985.002727981294,,,,,,
2,2006,70.4929718875502,-3.73413654618474,0.00903614457831325,478,1.5535140562249,976.727911646586,1290,215,116,107,104,75
2,2007,66.4961597542243,-0.764439324116741,0.271889400921659,155,2.45745007680491,977.258064516129,1428,115,85,89,69,139
2,2008,56.7002909796314,1.69689621726479,0.0775945683802134,738,1.91125121241513,987.425800193986,1561,169,119,123,97,151
2,2009,52.3848270440252,-2.36969339622642,0.017688679245283,1386,0,977.075078616352,,,,,,
3,2005,66.8231534090909,-0.221306818181816,0.553267045454545,84,2.55482954545455,978.084517045455,,,,,,
3,2006,71.6099930603747,-0.237265787647464,0.936849410131853,513,1.82817487855656,974.572519083969,1551,288,122,124,109,87
3,2007,53.6627218934911,6.8123415046492,0.672020287404903,195,2.04995773457311,980.651732882502,1663,149,100,102,84,124
3,2008,52.0801033591731,3.99345391903531,0.198966408268734,783,2.26813092161929,968.634797588286,1788,161,114,109,99,158
3,2009,63.7715279791244,1.48614091040878,0.0687155697303566,1435,0,971.924325891563,,,,,,
4,2005,67.3347863993025,8.73260680034874,3.58674803836094,123,1.66224934612031,978.530078465562,,,,,,
4,2006,61.1335333833458,9.28912228057014,2.09377344336084,535,1.94201050262566,977.948237059265,1681,218,100,126,91,77
4,2007,39.5687702265372,8.74247572815534,0.297734627831715,207,2.15064724919094,982.823624595469,1706,145,108,98,92,137
4,2008,47.0340999206979,9.34797779540048,1.00555114988105,860,1.61363996827913,975.808088818398,1814,166,116,111,99,186
4,2009,34.3219814241486,10.3736842105263,0.623065015479876,1441,0,981.640866873065,,,,,,
5,2005,73.4647636039251,12.078768956289,6.89027653880464,127,2.09054415700268,979.049063336307,,,,,,
5,2006,54.2504347826087,14.7387826086956,4.67565217391304,618,1.91121739130435,979.346956521739,1689,197,103,132,87,105
5,2007,45.4635708566854,16.9103282626101,4.61008807045637,254,1.88678943154523,975.767814251401,1769,142,121,104,87,139
5,2008,49.7642617449664,13.8299496644295,3.46308724832215,923,0.788758389261745,980.003355704698,1692,193,114,120,97,139
5,2009,39.7578616352201,13.6326257861635,2.32075471698113,1511,0,981.613993710692,,,,,,
6,2005,62.1630036630037,17.0648351648352,8.68589743589744,127,1.75457875457876,980.729853479853,,,,,,
6,2006,57.1317600786627,17.2242871189774,7.5771878072763,661,1.79016715830874,983.672566371681,1600,190,98,122,101,129
6,2007,44.1214953271028,19.7963655244029,5.51921079958463,321,1.71547248182762,977.116303219107,1630,149,103,109,97,156
6,2008,38.5068493150685,18.1290239726027,3.17037671232877,976,0.00102739726027397,979.75,1796,197,121,144,101,178
6,2009,47.5112426035503,17.2534911242604,5.37869822485207,33,0.0504142011834319,977.098224852071,,,,,,
7,2005,62.7911993097498,20.3239861949957,11.9473684210526,127,1.42899050905953,979.264020707506,,,,,,
7,2006,45.7454212454212,22.7531135531136,8.63736263736264,717,1.36153846153847,983.804945054945,1865,221,109,129,104,136
7,2007,46.7778723404255,20.0446808510638,6.35234042553192,451,1.57174468085106,977.370212765957,1671,185,134,117,101,176
7,2008,49.3240832507433,18.7183349851338,6.18830525272547,1082,0.0369672943508424,978.240832507433,1836,155,137,141,126,160
7,2009,42.0008703220191,20.4619669277633,5.40905134899913,51,0,979.007832898172,,,,,,
8,2005,69.6518456375839,17.985067114094,11.5,127,1.54471476510067,980.086409395973,,,,,,
8,2006,68.5256087321578,18.4942065491184,11.6162888329135,769,1.84013434089001,973.034424853065,1681,190,114,134,96,99
8,2007,51.5374449339207,19.996563876652,7.98502202643172,507,1.19374449339207,979.506607929515,1751,159,100,97,109,142
8,2008,46.3973799126638,19.5000873362445,5.65938864628821,1152,0.0643668122270742,978.545851528384,1855,160,110,130,91,124
8,2009,48.2147887323944,18.0137323943662,5.39788732394366,16,0,982.906690140845,,,,,,
9,2005,71.7896872761996,15.5463595130103,9.46908570064454,127,0.671950346144664,987.163046073048,,,,,,
9,2006,65.9148550724638,15.3893115942029,7.93297101449275,112,0.267572463768141,982.251811594203,1576,164,107,101,87,88
9,2007,61.9151599443672,12.9178720445063,4.93880389429764,600,1.70827538247567,980.282336578581,1583,153,117,117,85,132
9,2008,66.9297520661157,11.5988429752066,4.69256198347107,1254,0,981.771074380165,1644,159,123,128,114,121
10,2005,75.0083449235049,8.81314325452017,4.77190542420028,127,1.49346314325453,988.856745479833,,,,,,
10,2006,64.6913439635535,10.755125284738,4.7619589977221,129,0,981.51708428246,1606,172,106,102,81,185
